county,state,population_2010
Ballard County,Kentucky,8249
Barren County,Kentucky,42173
Bath County,Kentucky,11591
Bell County,Kentucky,28691
Boone County,Kentucky,118811
Bourbon County,Kentucky,19985
Boyd County,Kentucky,49542
Boyle County,Kentucky,28432
Bracken County,Kentucky,8488
Breathitt County,Kentucky,13878
Breckinridge County,Kentucky,20059
Bullitt County,Kentucky,74319
Butler County,Kentucky,12690
Caldwell County,Kentucky,12984
Calloway County,Kentucky,37191
Campbell County,Kentucky,90336
Carlisle County,Kentucky,5104
Carroll County,Kentucky,10811
Carter County,Kentucky,27720
Casey County,Kentucky,15955
Christian County,Kentucky,73955
Clark County,Kentucky,35613
Clay County,Kentucky,21730
Clinton County,Kentucky,10272
Crittenden County,Kentucky,9315
Cumberland County,Kentucky,6856
Daviess County,Kentucky,96656
Edmonson County,Kentucky,12161
Elliott County,Kentucky,7852
Estill County,Kentucky,14672
Fayette County,Kentucky,295803
Fleming County,Kentucky,14348
Floyd County,Kentucky,39451
Franklin County,Kentucky,49285
Fulton County,Kentucky,6813
Gallatin County,Kentucky,8589
Garrard County,Kentucky,16912
Grant County,Kentucky,24662
Graves County,Kentucky,37121
Grayson County,Kentucky,25746
Green County,Kentucky,11258
Greenup County,Kentucky,36910
Hancock County,Kentucky,8565
Hardin County,Kentucky,105543
Harlan County,Kentucky,29278
Harrison County,Kentucky,18846
Hart County,Kentucky,18199
Henderson County,Kentucky,46250
Henry County,Kentucky,15416
Hickman County,Kentucky,4902
Hopkins County,Kentucky,46920
Jackson County,Kentucky,13494
Jefferson County,Kentucky,741096
Jessamine County,Kentucky,48586
Johnson County,Kentucky,23356
Kenton County,Kentucky,159720
Knott County,Kentucky,16346
Knox County,Kentucky,31883
Larue County,Kentucky,14193
Laurel County,Kentucky,58849
Lawrence County,Kentucky,15860
Lee County,Kentucky,7887
Leslie County,Kentucky,11310
Letcher County,Kentucky,24519
Lewis County,Kentucky,13870
Lincoln County,Kentucky,24742
Livingston County,Kentucky,9519
Logan County,Kentucky,26835
Lyon County,Kentucky,8314
McCracken County,Kentucky,65565
McCreary County,Kentucky,18306
McLean County,Kentucky,9531
Madison County,Kentucky,82916
Magoffin County,Kentucky,13333
Marion County,Kentucky,19820
Marshall County,Kentucky,31448
Martin County,Kentucky,12929
Mason County,Kentucky,17490
Meade County,Kentucky,28602
Menifee County,Kentucky,6306
Mercer County,Kentucky,21331
Metcalfe County,Kentucky,10099
Monroe County,Kentucky,10963
Montgomery County,Kentucky,26499
Morgan County,Kentucky,13923
Muhlenberg County,Kentucky,31499
Nelson County,Kentucky,43437
Nicholas County,Kentucky,7135
Ohio County,Kentucky,23842
Oldham County,Kentucky,60316
Owen County,Kentucky,10841
Owsley County,Kentucky,4755
Pendleton County,Kentucky,14877
Perry County,Kentucky,28712
Pike County,Kentucky,65024
Powell County,Kentucky,12613
Pulaski County,Kentucky,63063
Robertson County,Kentucky,2282
Rockcastle County,Kentucky,17056
Rowan County,Kentucky,23333
Russell County,Kentucky,17565
Scott County,Kentucky,47173
Shelby County,Kentucky,42074
Simpson County,Kentucky,17327
Spencer County,Kentucky,17061
Taylor County,Kentucky,24512
Todd County,Kentucky,12460
Trigg County,Kentucky,14339
Trimble County,Kentucky,8809
Union County,Kentucky,15007
Warren County,Kentucky,113792
Washington County,Kentucky,11717
Wayne County,Kentucky,20813
Webster County,Kentucky,13621
Whitley County,Kentucky,35637
Wolfe County,Kentucky,7355
Woodford County,Kentucky,24939
Acadia Parish,Louisiana,61773
Allen Parish,Louisiana,25764
Ascension Parish,Louisiana,107215
Assumption Parish,Louisiana,23421
Avoyelles Parish,Louisiana,42073
Beauregard Parish,Louisiana,35654
Bienville Parish,Louisiana,14353
Bossier Parish,Louisiana,116979
Caddo Parish,Louisiana,254969
Calcasieu Parish,Louisiana,192768
Caldwell Parish,Louisiana,10132
Cameron Parish,Louisiana,6839
Catahoula Parish,Louisiana,10407
Claiborne Parish,Louisiana,17195
Concordia Parish,Louisiana,20822
De Soto Parish,Louisiana,26656
East Baton Rouge Parish,Louisiana,440171
East Carroll Parish,Louisiana,7759
East Feliciana Parish,Louisiana,20267
Evangeline Parish,Louisiana,33984
Franklin Parish,Louisiana,20767
Grant Parish,Louisiana,22309
Iberia Parish,Louisiana,73240
Iberville Parish,Louisiana,33387
Jackson Parish,Louisiana,16274
Jefferson Parish,Louisiana,432552
Jefferson Davis Parish,Louisiana,31594
Lafayette Parish,Louisiana,221578
Lafourche Parish,Louisiana,96318
La Salle Parish,Louisiana,14890
Lincoln Parish,Louisiana,46735
Livingston Parish,Louisiana,128026
Madison Parish,Louisiana,12093
Morehouse Parish,Louisiana,27979
Natchitoches Parish,Louisiana,39566
Orleans Parish,Louisiana,343829
Ouachita Parish,Louisiana,153720
Plaquemines Parish,Louisiana,23042
Pointe Coupee Parish,Louisiana,22802
Rapides Parish,Louisiana,131613
Red River Parish,Louisiana,9091
Richland Parish,Louisiana,20725
Sabine Parish,Louisiana,24233
St. Bernard Parish,Louisiana,35897
St. Charles Parish,Louisiana,52780
St. Helena Parish,Louisiana,11203
St. James Parish,Louisiana,22102
St. John the Baptist Parish,Louisiana,45924
St. Landry Parish,Louisiana,83384
St. Martin Parish,Louisiana,52160
St. Mary Parish,Louisiana,54650
St. Tammany Parish,Louisiana,233740
Tangipahoa Parish,Louisiana,121097
Tensas Parish,Louisiana,5252
Terrebonne Parish,Louisiana,111860
Union Parish,Louisiana,22721
Vermilion Parish,Louisiana,57999
Vernon Parish,Louisiana,52334
Washington Parish,Louisiana,47168
Webster Parish,Louisiana,41207
West Baton Rouge Parish,Louisiana,23788
West Carroll Parish,Louisiana,11604
West Feliciana Parish,Louisiana,15625
Winn Parish,Louisiana,15313
Androscoggin County,Maine,107702
Aroostook County,Maine,71870
Cumberland County,Maine,281674
Franklin County,Maine,30768
Hancock County,Maine,54418
Kennebec County,Maine,122151
Knox County,Maine,39736
Lincoln County,Maine,34457
Oxford County,Maine,57833
Penobscot County,Maine,153923
Piscataquis County,Maine,17535
Sagadahoc County,Maine,35293
Somerset County,Maine,52228
Waldo County,Maine,38786
Washington County,Maine,32856
York County,Maine,197131
Allegany County,Maryland,75087
Anne Arundel County,Maryland,537656
Baltimore County,Maryland,805029
Calvert County,Maryland,88737
Caroline County,Maryland,33066
Carroll County,Maryland,167134
Cecil County,Maryland,101108
Charles County,Maryland,146551
Dorchester County,Maryland,32618
Frederick County,Maryland,233385
Garrett County,Maryland,30097
Harford County,Maryland,244826
Howard County,Maryland,287085
Kent County,Maryland,20197
Montgomery County,Maryland,971777
Prince George's County,Maryland,863420
Queen Anne's County,Maryland,47798
St. Mary's County,Maryland,105151
Somerset County,Maryland,26470
Talbot County,Maryland,37782
Washington County,Maryland,147430
Wicomico County,Maryland,98733
Worcester County,Maryland,51454
Baltimore city,Maryland,620961
Barnstable County,Massachusetts,215888
Berkshire County,Massachusetts,131219
Bristol County,Massachusetts,548285
Dukes County,Massachusetts,16535
Essex County,Massachusetts,743159
Franklin County,Massachusetts,71372
Hampden County,Massachusetts,463490
Hampshire County,Massachusetts,158080
Middlesex County,Massachusetts,1503085
Nantucket County,Massachusetts,10172
Norfolk County,Massachusetts,670850
Plymouth County,Massachusetts,494919
Suffolk County,Massachusetts,722023
Worcester County,Massachusetts,798552
Alcona County,Michigan,10942
Alger County,Michigan,9601
Allegan County,Michigan,111408
Alpena County,Michigan,29598
Antrim County,Michigan,23580
Arenac County,Michigan,15899
Baraga County,Michigan,8860
Barry County,Michigan,59173
Bay County,Michigan,107771
Benzie County,Michigan,17525
Berrien County,Michigan,156813
Branch County,Michigan,45248
Calhoun County,Michigan,136146
Cass County,Michigan,52293
Charlevoix County,Michigan,25949
Cheboygan County,Michigan,26152
Chippewa County,Michigan,38520
Clare County,Michigan,30926
Clinton County,Michigan,75382
Crawford County,Michigan,14074
Delta County,Michigan,37069
Dickinson County,Michigan,26168
Eaton County,Michigan,107759
Emmet County,Michigan,32694
Genesee County,Michigan,425790
Gladwin County,Michigan,25692
Gogebic County,Michigan,16427
Grand Traverse County,Michigan,86986
Gratiot County,Michigan,42476
Hillsdale County,Michigan,46688
